Test Accuracy,Trial ID
76.42857432365417%,tIS4T
14.28571492433548%,fkMu5
21.42857164144516%,eIeNK
14.28571492433548%,iXUo6
77.85714268684387%,u7H5z
73.57142567634583%,RzfW8
80.71428537368774%,nAdMQ
75.0%,wvJtu
83.57142806053162%,aI94R
77.85714268684387%,YEYym
87.14285492897034%,V9wYw
70.71428298950195%,WE0XI
82.14285969734192%,Jremn
66.42857193946838%,SAyEB
75.71428418159485%,NEqFL
21.42857164144516%,F73tz
69.9999988079071%,ODIXU
65.71428775787354%,kA05g
81.42856955528259%,aDGsE
68.57143044471741%,nhFev
82.85714387893677%,kiExS
77.14285850524902%,Qb8er
69.9999988079071%,EJkWy
76.42857432365417%,ebrSt
19.285714626312256%,lv58V
76.42857432365417%,cDTdj
80.0000011920929%,QCREP
67.85714030265808%,F57qc
74.28571581840515%,CJNDN
77.85714268684387%,xvsM9
69.9999988079071%,Vlgmw
83.57142806053162%,bXQud
76.42857432365417%,eGhVB
85.00000238418579%,qCSgQ
18.571428954601288%,LcHRH
84.28571224212646%,kCx4m
82.14285969734192%,kioVV
83.57142806053162%,KU0Tb
72.14285731315613%,its29
84.28571224212646%,UVrLI
87.85714507102966%,ip1UI
82.85714387893677%,DcFB8
75.0%,LJXou
83.57142806053162%,A9uYY
78.57142686843872%,MFkKi
82.85714387893677%,gL2WL
86.42857074737549%,SERQh
80.0000011920929%,XNfyX
84.28571224212646%,oAy54
78.57142686843872%,z78nZ
85.00000238418579%,KWymK
87.14285492897034%,fjXsR
83.57142806053162%,WUx4G
87.14285492897034%,iOAFc
78.57142686843872%,YDPu5
77.14285850524902%,erEyh
85.00000238418579%,f9fyL
80.71428537368774%,kTsCY
75.0%,o7kgF
75.71428418159485%,zOzWA
83.57142806053162%,AWJ2u
77.85714268684387%,J2W2o
80.0000011920929%,FUwhz
85.71428656578064%,sDMM4
82.14285969734192%,uTp5r
79.28571701049805%,nk03t
88.57142925262451%,q2dAJ
84.28571224212646%,wNGKL
92.85714030265808%,mDdpA
82.14285969734192%,lCU7c
87.85714507102966%,EO6Ga
14.28571492433548%,X5fr9
85.71428656578064%,qixK3
71.42857313156128%,ECZp6
85.71428656578064%,QnNJQ
83.57142806053162%,vsBL7
92.85714030265808%,sXkRb
14.28571492433548%,EJe0E
76.42857432365417%,TlHCd
81.42856955528259%,kG9a6
85.71428656578064%,BdT3v
75.0%,ZjLSP
88.57142925262451%,FXeuD
82.85714387893677%,iUmou
83.57142806053162%,tg0cl
79.28571701049805%,r4MIZ
87.85714507102966%,A9UuH
88.57142925262451%,Ia3z9
72.14285731315613%,DxflW
67.85714030265808%,qnnDf
82.85714387893677%,Ohkgq
71.42857313156128%,EQCYt
80.71428537368774%,MgOdF
83.57142806053162%,xTA2Y
80.71428537368774%,lAcyN
84.28571224212646%,qAOPD
69.28571462631226%,uXKTA
79.28571701049805%,oMihf
71.42857313156128%,JEcpn
68.57143044471741%,ebuDh
82.85714387893677%,TM2r4
85.00000238418579%,VibWD
81.42856955528259%,xsbaF
87.14285492897034%,xLUfs
72.85714149475098%,Xs83Y
85.71428656578064%,JLv1o
91.42857193946838%,NPeIS
88.57142925262451%,i2tWJ
73.57142567634583%,ANwJV
88.57142925262451%,VGkWb
77.85714268684387%,SWoNI
78.57142686843872%,sEAMT
86.42857074737549%,jcobA
75.0%,np2VN
90.71428775787354%,XdArK
79.28571701049805%,TakN2
76.42857432365417%,Om0GN
91.42857193946838%,kz5xf
78.57142686843872%,lQIB8
80.71428537368774%,IKWiW
83.57142806053162%,IU2vV
87.14285492897034%,rL4wi
80.0000011920929%,iz7zw
85.00000238418579%,bhRlF
72.85714149475098%,fbmc4
91.42857193946838%,ibEl1
87.14285492897034%,l7fVO
87.85714507102966%,fatlP
80.0000011920929%,josp2
67.85714030265808%,THbjN
82.85714387893677%,JcjVn
89.99999761581421%,MdUqL
86.42857074737549%,oFMnq
89.99999761581421%,JwoNY
84.28571224212646%,pIMm1
80.0000011920929%,IdtBd
86.42857074737549%,BLQce
74.28571581840515%,ju0nu
88.57142925262451%,JbcE6
81.42856955528259%,caCGI
83.57142806053162%,FPbw4
84.28571224212646%,cOTXx
85.71428656578064%,kXviW
81.42856955528259%,p5Y4w
80.71428537368774%,mDBxh
91.42857193946838%,BJr5r
90.71428775787354%,nQhT9
89.99999761581421%,BtXde
77.85714268684387%,Vx8cP
80.0000011920929%,pscon
90.71428775787354%,yc2oA
89.28571343421936%,We5Qc
82.85714387893677%,fEiYn
77.85714268684387%,T34rw
89.99999761581421%,qmEVa
89.28571343421936%,o9aIj
85.00000238418579%,X09Zw
90.71428775787354%,pwUwb
78.57142686843872%,XBOkH
75.71428418159485%,yrUl2
77.85714268684387%,geC8c
91.42857193946838%,ReDIg
89.99999761581421%,mOQm0
76.42857432365417%,mjAtw
87.14285492897034%,GOJJ0
89.99999761581421%,SiKZm
85.00000238418579%,h2D20
89.99999761581421%,LygSJ
82.14285969734192%,n1yOD
84.28571224212646%,s6lRW
92.14285612106323%,YPhMW
87.85714507102966%,y2gDN
87.85714507102966%,kOlEA
82.14285969734192%,oMXaO
92.85714030265808%,T0R0c
85.71428656578064%,AiEiZ
91.42857193946838%,UHGLt
89.99999761581421%,tEZAA
91.42857193946838%,RjMmO
89.28571343421936%,LM9Gy
85.00000238418579%,sGppy
87.85714507102966%,WFbYc
86.42857074737549%,b3paw
87.14285492897034%,Ehbxw
87.14285492897034%,t8kHD
91.42857193946838%,lNKyY
92.85714030265808%,FEm5y
87.85714507102966%,GVly2
89.28571343421936%,DDJ1F
91.42857193946838%,zroUx
87.85714507102966%,NgbGs
89.99999761581421%,otpxT
86.42857074737549%,eDqdn
89.28571343421936%,xBbhn
91.42857193946838%,Pcob6
91.42857193946838%,rS0lh
92.14285612106323%,xL80m
87.14285492897034%,EuWtj
77.85714268684387%,wN3cn
92.85714030265808%,roJl9
87.14285492897034%,yUMOm
92.14285612106323%,yvAEW
87.14285492897034%,eqc8f
87.85714507102966%,kymHj
87.85714507102966%,Y5n37
94.28571462631226%,Zyw5c
90.71428775787354%,jRWK0
91.42857193946838%,ytoQU
80.0000011920929%,e5fto
87.14285492897034%,Nqq4c
83.57142806053162%,KZWzJ
92.14285612106323%,KSdfz
91.42857193946838%,Ms2Vt
92.14285612106323%,Dg5Ql
93.57143044471741%,NnEVE
89.28571343421936%,dvgyk
91.42857193946838%,Ux0o4
87.85714507102966%,zmzbM
15.000000596046448%,oYtDJ
13.571429252624512%,PpDio
15.714286267757416%,Vt230
75.0%,FLwpf
14.28571492433548%,MEVfk
77.85714268684387%,VBeLS
75.0%,zDN2b
88.57142925262451%,d52dK
81.42856955528259%,OmWUG
76.42857432365417%,PXwP9
86.42857074737549%,r2pJm
15.714286267757416%,S40Ps
83.57142806053162%,qVGYK
93.57143044471741%,FeixE
88.57142925262451%,SNfGo
78.57142686843872%,lILLY
87.14285492897034%,Enarx
90.71428775787354%,iIHqV
89.28571343421936%,QHB4Z
76.42857432365417%,RLRma
91.42857193946838%,vvSU6
89.28571343421936%,c3TsJ
88.57142925262451%,bJUrs
75.71428418159485%,mKKkh
90.71428775787354%,Al6Yf
77.14285850524902%,FOwkA
82.85714387893677%,Klj7z
74.28571581840515%,TfeCt
80.0000011920929%,nY0ce
76.42857432365417%,NKg8a
90.71428775787354%,WCBZV
87.85714507102966%,K2zsD
90.71428775787354%,getL9
97.14285731315613%,VvPPI
93.57143044471741%,aQdoq
84.28571224212646%,N0RQM
