Test Accuracy,Trial ID
16.296295821666718%,Wd3ae
8.703703433275223%,fpbcB
9.074074029922485%,BVIuD
16.296295821666718%,mv1Ys
16.296295821666718%,My8pI
3.7037037312984467%,xStVD
34.99999940395355%,O4y6H
54.07407283782959%,XgISj
6.481481343507767%,Tj69u
29.814815521240234%,GxPpe
16.85185134410858%,O3sK6
5.55555559694767%,IyNQE
30.55555522441864%,Afkga
3.7037037312984467%,rN4q9
21.481481194496155%,IbRLU
32.407405972480774%,raMoZ
34.81481373310089%,H6JqI
30.185183882713318%,wveCq
36.4814817905426%,JAUEi
40.925925970077515%,AFavJ
39.2592579126358%,yDf13
34.25925970077515%,X9xSb
40.37036895751953%,HcMDq
47.03703820705414%,BIwgD
28.333333134651184%,gzQjf
4.074073955416679%,yGWec
16.111111640930176%,uxrZf
34.99999940395355%,JEUAB
42.77777671813965%,Wonoq
15.000000596046448%,dk3OM
32.777777314186096%,tjHY4
48.70370328426361%,J6DSE
32.777777314186096%,YE0hh
43.88888776302338%,M0OCH
40.00000059604645%,MWMgp
43.14814805984497%,bvmZe
36.851853132247925%,rEIlD
40.37036895751953%,jcETE
43.88888776302338%,dNUpv
45.92592716217041%,L4lEu
15.740740299224854%,VqIJv
34.44444537162781%,mGv8g
32.407405972480774%,w5Iwu
41.85185134410858%,ZhmM9
32.407405972480774%,lB2wg
52.40740776062012%,mnGls
37.77777850627899%,i3DsY
35.92592477798462%,G1b0W
34.99999940395355%,ujMNS
45.55555582046509%,VuS7A
53.33333611488342%,RFbGs
42.592594027519226%,qwLwA
41.85185134410858%,cBC6C
37.40740716457367%,DSild
42.407408356666565%,ZlZU5
52.59259343147278%,xcXUX
44.81481611728668%,r7cDZ
52.037036418914795%,D78ay
49.44444298744202%,U6sP7
54.25925850868225%,NQTA4
48.33333194255829%,FnHDq
41.85185134410858%,Lvuul
42.03703701496124%,q31Me
52.59259343147278%,Jox3A
44.2592591047287%,oKgno
40.55555462837219%,AX4Jz
45.37037014961243%,qmPrd
46.85185253620148%,YLqqu
30.925926566123962%,ituvg
50.925928354263306%,gw1zQ
44.44444477558136%,iV0A3
41.48148000240326%,dWDUd
49.62962865829468%,aUJnb
32.407405972480774%,G0HSZ
48.88888895511627%,PTX7m
56.66666626930237%,BZAbC
49.44444298744202%,GGuDS
48.88888895511627%,BxCBG
54.62962985038757%,UMu3x
49.44444298744202%,VvKFa
39.07407522201538%,z2sdJ
50.37037134170532%,GtKWR
45.37037014961243%,hU3kP
42.407408356666565%,Wao4d
48.33333194255829%,CLOXL
48.148149251937866%,qx0hW
46.85185253620148%,AUFzh
48.51851761341095%,aqtBF
45.55555582046509%,j9SSR
44.2592591047287%,tAdck
50.55555701255798%,aICj0
42.407408356666565%,vLuoE
49.62962865829468%,r4gtQ
44.07407343387604%,kVLc1
45.74074149131775%,hCllT
50.925928354263306%,wlWvR
42.03703701496124%,Lwf34
54.44444417953491%,BydyD
39.81481492519379%,ecbrc
47.40740656852722%,vi8Ei
32.22222328186035%,GgA6w
47.59259223937988%,wTCfg
45.92592716217041%,NmTH1
48.51851761341095%,fsm5j
53.518515825271606%,KDCQ0
52.40740776062012%,W4RK8
44.2592591047287%,Bg37J
47.59259223937988%,tUpPp
36.666667461395264%,t6JVM
44.07407343387604%,qODS5
53.88888716697693%,zuYg1
46.296295523643494%,D4Vjo
44.44444477558136%,k1FaV
52.9629647731781%,xItvA
44.07407343387604%,XV9yK
49.259260296821594%,BqYPT
52.9629647731781%,e6Ock
47.03703820705414%,VtLsf
42.03703701496124%,ZOIKr
43.51851940155029%,TJ1YA
50.18518567085266%,ZUyoT
51.48147940635681%,U9L5n
35.18518507480621%,NJLyQ
45.37037014961243%,CowVk
46.85185253620148%,dNiCB
48.70370328426361%,URCcT
42.592594027519226%,OwrPM
44.62963044643402%,NanQk
50.55555701255798%,iEhYo
49.259260296821594%,d7FIg
46.296295523643494%,MA37J
37.59259283542633%,TEp8W
41.66666567325592%,ixNqq
51.11111402511597%,pTyiW
45.74074149131775%,uHbOF
44.2592591047287%,yxcxd
44.07407343387604%,ruA93
51.66666507720947%,iUIg5
45.55555582046509%,ZAzjY
47.40740656852722%,kLv9P
50.18518567085266%,bv8Ds
28.703704476356506%,RC0Q3
55.18518686294556%,llXkr
53.33333611488342%,UHUgG
47.40740656852722%,O0cBq
53.33333611488342%,UEkH9
51.48147940635681%,TWK9P
41.85185134410858%,Qziwk
54.62962985038757%,nFDLT
46.481481194496155%,sjR7J
49.44444298744202%,veFVa
44.999998807907104%,ip0iQ
46.296295523643494%,aIPaE
39.444443583488464%,QhKep
39.81481492519379%,bNo5h
43.51851940155029%,lwzoV
46.296295523643494%,RoT5Y
52.77777910232544%,Hiuqk
52.77777910232544%,yTonm
47.22222089767456%,dU5kw
50.37037134170532%,PDW4a
45.37037014961243%,woIp6
52.40740776062012%,PmzlS
44.999998807907104%,XDXS1
51.11111402511597%,IGamO
51.66666507720947%,iiO54
42.03703701496124%,ydq4K
52.037036418914795%,KkJB0
42.77777671813965%,wwpRF
48.51851761341095%,EceqE
49.62962865829468%,X3ITs
49.81481432914734%,P2jkY
48.51851761341095%,UO5Fl
41.111111640930176%,vZKJT
50.925928354263306%,lvC4m
47.40740656852722%,Z1QDg
48.88888895511627%,S8HyW
50.740742683410645%,AEO0S
45.92592716217041%,Nxtth
38.5185182094574%,mwwdW
53.70370149612427%,s4Qaf
3.7037037312984467%,XzD1b
30.000001192092896%,AVoLF
42.03703701496124%,lbAPA
2.5925925001502037%,zI7CL
31.296294927597046%,uqcb9
3.333333507180214%,OpyNk
53.33333611488342%,qHegb
53.518515825271606%,aTTxf
41.66666567325592%,CpXN1
